Title,Year,Director,Country,ASL
Death Becomes Her ,1992,"Zemeckis, Robert ",USA ,6.16
Oliver Twist ,2005,"Polanski, Roman ",,6.16
He's Just Not That Into You ,2008,"Kwapis, Ken ",,6.16
"Lost World, The ",1960,"Allen, Irwin ",USA ,6.17
Brannigan ,1965,"Hickox, Douglas ",,6.17
Mystic Pizza ,1988,"Petrie, Donald ",USA ,6.17
Suicide Battalion ,1958,"Cahn, Edward L. ",USA ,6.18
Never Say Never Again ,1983,"Kershner, Irvin ",BRI ,6.18
Jennifer Eight ,1992,"Robinson, Bruce ",USA ,6.18
Life as a House ,2001,"Winkler, Irwin ",USA ,6.18
Half Moon ,2006,"Ghobadi, Behnam ",,6.18
Okraina ,1933,"Barnet, Boris ",RUS ,6.19
"Duellists, The ",1977,"Scott, Ridley ",BRI ,6.19
George and Mildred ,1980,"Jones, Peter Frazer ",BRI ,6.19
Star Trek IV: The Voyage Home ,1986,"Nimoy, Leonard ",USA ,6.19
Punchline ,1988,"Seltzer, David ",USA ,6.19
R-Point ,2004,Kong Su-Chang ,KOR ,6.19
War Horse ,2011,"Spielberg, Steven ",USA ,6.19
"Arl�sienne, l' ",1922,"Antoine, Andr� ",FRA ,6.2
"Joueur d'Echecs, Le ",1926,"Bernard, Raymond ",FRA ,6.2
Abwege ,1928,"Pabst, G. W. ",GER ,6.2
"Circus Queen Murder, The ",1933,"Neill, Roy William ",USA ,6.2
California Straight Ahead ,1937,"Lubin, Arthur ",USA ,6.2
"Falcon's Adventure, The ",1946,"Berke, William ",USA ,6.2
Dick Tracy Meets Gruesome ,1947,"Rawlins, John ",USA ,6.2
"Vigilantes Return, The ",1947,"Taylor, Ray ",USA ,6.2
Red Canyon ,1949,"Sherman, George ",USA ,6.2
Come Next Spring ,1956,"Springsteen, R.G. ",USA ,6.2
Mohawk ,1956,"Neumann, Kurt ",USA ,6.2
Hercules ,1957,"Francisci, Pietro ",ITA ,6.2
"Badlanders, The ",1958,"Daves, Delmer ",USA ,6.2
Ice Cold in Alex ,1958,"Lee-Thompson, J. ",BRI ,6.2
Invisible Invaders ,1959,"Cahn, Edward L. ",USA ,6.2
"Magic Sword, The ",1962,"Gordon, Bert I. ",USA ,6.2
"Wonderful World of the Brothers Grimm, The ",1962,"Pal, George ",USA ,6.2
First Men in the Moon ,1964,"Juran, Nathan ",BRI ,6.2
"She Beast, The ",1965,"Reeves, Michael ",,6.2
Strange Bedfellows ,1965,"Frank, Melvin ",USA ,6.2
Carry On Screaming ,1966,"Thomas, Gerald ",BRI ,6.2
Otley ,1968,"Clement, Dick ",BRI ,6.2
"Plot Against Harry, The ",1969,"Roemer, Michael ",USA ,6.2
Monte Walsh ,1970,"Fraker, William A. ",USA ,6.2
"Poseidon Adventure, The ",1972,"Neame, Ronald ",USA ,6.2
Sugar Hill ,1974,"Maslansky, Paul ",USA ,6.2
Expos� ,1975,"Clark, James Kenelm ",BRI ,6.2
Ransom ,1975,"Wrede, Casper ",BRI ,6.2
Return to Macon County ,1975,"Compton, Richard ",USA ,6.2
I Wanna Hold Your Hand ,1978,"Zemeckis, Robert ",USA ,6.2
Dressed to Kill ,1980,"De Palma, Brian ",USA ,6.2
"Pirates of Penzance, The ",1983,"Leach, Wilford ",USA ,6.2
Secrets of the Phantom Caverns ,1984,"Sharp, Don ",BRI ,6.2
Car Trouble ,1985,"Green, David ",BRI ,6.2
Taffin ,1987,"Megahy, Francis ",BRI ,6.2
Journey to Spirit Island ,1988,"Pal, Laszlo ",USA ,6.2
Ladri di saponette ,1989,"Nichetti, Maurizio ",ITA ,6.2
Loverboy ,1989,"Silver, Joan Micklin ",USA ,6.2
Wings of Fame ,1990,"Votocek, Otokar ",HOL ,6.2
Jurassic Park ,1993,"Spielberg, Steven ",USA ,6.2
Horses and Champions ,1994,"Taylor, Jonathan ",USA ,6.2
I Like It Like That ,1994,"Martin, Darnell ",USA ,6.2
Immortal Beloved ,1994,"Rose, Bernard ",,6.2
"Month by the Lake, A ",1994,"Irvin, John ",,6.2
Casper ,1995,"Silberling, Brad ",USA ,6.2
Circle of Friends ,1995,"O'Connor, Pat ",,6.2
Don Juan DeMarco ,1995,"Leven, Jeremy ",USA ,6.2
Citizen Ruth ,1996,"Payne, Alexander ",USA ,6.2
Jane Eyre ,1996,"Zeffirelli, Franco ",,6.2
"Trigger Effect, The ",1996,"Koepp, David ",USA ,6.2
"Big Lebowski, The ",1997,"Coen, Joel ",,6.2
Fairy Tale: A True Story ,1997,"Sturridge, Charles ",USA ,6.2
Gang Related ,1997,"Kouf, Jim ",USA ,6.2
In Dark Places ,1997,"Burke, James ",USA ,6.2
"Land Girls, The ",1997,"Leland, David ",BRI ,6.2
Marquise ,1997,"Belmont, V�ra ",,6.2
Sleeping Together ,1997,"Bush, Hugh ",USA ,6.2
"Smile Like Yours, A ",1997,"Samples, Keith ",USA ,6.2
Touch Me ,1997,"Boos, H. Gordon ",USA ,6.2
Waking Up Horton ,1997,"Bromley-Davenport, Harry ",USA ,6.2
Wilde ,1997,"Gilbert, Brian ",,6.2
Fear and Loathing in Las Vegas ,1998,"Gilliam, Terry ",USA ,6.2
Idioterna ,1998,"Trier, Lars von ",DEN ,6.2
"Real Howard Spitz, The ",1998,"Jean, Vadim ",,6.2
Rogue Trader ,1998,"Dearden, James ",BRI ,6.2
"Simple Plan, A ",1998,"Raimi, Sam ",USA ,6.2
There's Something About Mary ,1998,"Farrelly, Peter & Bobby ",USA ,6.2
"Tic Code, The ",1998,"Winck, Gary ",USA ,6.2
"Tichborne Claimant, The ",1998,"Yates, David ",BRI ,6.2
Est-Ouest ,1999,"Wargnier, R�gis S. ",,6.2
Billy Elliot ,2000,"Daldry, Stephen ",BRI ,6.2
"Body, The ",2000,"McCord, Jonas ",,6.2
"Iron Ladies, The ",2000,"Thongkoothun, Yong Yooth ",THA ,6.2
Traffic ,2000,"Soderbergh, Steven ",USA ,6.2
Jump Tomorrow ,2001,"Hopkins, Joel ",BRI ,6.2
No Man's Land ,2001,"Tanovic, Danis ",,6.2
Someone Like You ,2001,"Goldwyn, Tony ",USA ,6.2
"Heart of Me, The ",2002,"O'Sullivan, Thaddeus ",BRI ,6.2
Coco Chanel & Igor Stravinsky ,2009,"Kounen, Jan ",,6.2
Air Force ,1943,"Hawks, Howard ",USA ,6.21
Fixed Bayonets! ,1951,"Fuller, Samuel ",USA ,6.21
"Long Ships, The ",1963,"Cardiff, Jack ",USA ,6.21
"Final Conflict, The ",1980,"Baker, Graham ",USA ,6.21
D.A.R.Y.L. ,1985,"Wincer, Simon ",USA ,6.21
Pavilion of Women ,2000,Ho Yim ,USA ,6.21
Departures ,2008,Takita Yojiro ,JAP ,6.21
Johnny Guitar ,1954,"Ray, Nicholas ",USA ,6.22
"Witches of Eastwick, The ",1987,"Miller, George ",USA ,6.22
"Two Jakes, The ",1990,"Nicholson, Jack ",USA ,6.22
Journey to the Center of the Earth ,1959,"Levin, Henry ",USA ,6.23
Apache ,1954,"Aldrich, Robert ",USA ,6.24
"One That Got Away, The ",1957,"Baker, Roy ",BRI ,6.24
Carry on Cabby ,1963,"Thomas, Gerald ",BRI ,6.24
"Mouse on the Moon, The ",1963,"Lester, Richard ",BRI ,6.24
National Lampoon's Movie Madness Pt. 3 ,1982,"Jaglom, Henry ",USA ,6.24
"Thousand Acres, A ",1997,"Moorhouse, Jocelyn ",USA ,6.24
"Perro, el ",2004,"Sorin, Carlos ",ARG ,6.24
Big Boy Rides again ,1935,"Herman, Albert ",USA ,6.25
Wagon Train ,1940,"Killy, Edward ",USA ,6.25
"Titfield Thunderbolt, The ",1952,"Crichton, Charles ",BRI ,6.25
Rimase uno solo e fu la morte per tutti ,1971,"Mulargia, Edoardo ",ITA ,6.25
Broadcast News ,1987,"Brooks, James L. ",USA ,6.25
"Glass bottom Boat, The ",1966,"Tashlin, Frank ",USA ,6.26
"Thomas Crown Affair, The ",1968,"Jewison, Norman ",USA ,6.26
"Undefeated, The ",1969,"McLagen, Andrew V. ",USA ,6.26
"Magnificent Seven Ride!, The ",1972,"McCowan, George ",USA ,6.26
Operation Daybreak ,1975,"Gilbert, Lewis ",BRI ,6.26
"Karate Kid Part II, The ",1986,"Avildsen, John G. ",USA ,6.26
Dying Young ,1991,"Schumacher, Joel ",USA ,6.26
Splitting Heirs ,1993,"Young, Robert ",BRI ,6.26
Open Water ,2004,"Kentis, Chris ",USA ,6.26
Hue and Cry ,1947,"Crichton, Charles ",BRI ,6.27
"Angry Silence, The ",1960,"Green, Guy ",BRI ,6.27
McLintock! ,1963,"McLagen, Andrew V. ",USA ,6.27
Tower of Evil ,1972,"O'Connolly, Jim ",,6.27
Lord of the Flies ,1990,"Hook, Harry ",USA ,6.27
Jackass: The Movie ,2004,"Tremaine, Jeff ",USA ,6.27
"Chucho, Quien sabe?, el ",1966,"Damiani, Damiano ",ITA ,6.28
"Private Function, A ",1984,"Mowbray, Malcolm ",BRI ,6.28
Mr. Jones ,1993,"Figgis, Mike ",USA ,6.28
Laurel Canyon ,2002,"Cholodenko, Lisa ",USA ,6.28
Under the Bombs ,2007,"Aractingi, Philippe ",,6.28
Those Magnificent Men in Their Flying Machines ,1965,"Annakin, Ken ",BRI ,6.29
Captain Ron ,1992,"Eberhardt, Thorn ",USA ,6.29
Ocean's Thirteen ,2007,"Soderbergh, Steven ",,6.29
Alice in Wonderland ,1933,"McLeod, Norman Z. ",USA ,6.3
Call of the Wild ,1935,"Wellman, William ",USA ,6.3
"Toast of New York, The ",1937,"Lee, Rowland V. ",USA ,6.3
"Texans, The ",1938,"Hogan, James ",USA ,6.3
Geronimo ,1939,"Sloane, Paul H. ",USA ,6.3
"Isle of the Dead, The ",1945,"Robson, Mark ",USA ,6.3
Dick Tracy's Dilemma ,1947,"Rawlins, John ",USA ,6.3
Cairo Road ,1950,"MacDonald, David ",BRI ,6.3
Black Horse Canyon ,1954,"Hibbs, Jesse ",USA ,6.3
Tall Man Riding ,1955,"Selander, Lesley ",USA ,6.3
3.10 to Yuma ,1957,"Daves, Delmer ",USA ,6.3
Wind Across the Everglades ,1958,"Ray, Nicholas ",USA ,6.3
Submarine Seahawk ,1959,"Bennet, Spencer Gordon ",USA ,6.3
"Homme de Rio, l' ",1964,"Broca, Philippe ",FRA ,6.3
Son of a Gunfighter ,1964,"Landres, Paul ",,6.3
"Big Hand for the Little Lady, A ",1966,"Cook, Fielder ",USA ,6.3
"Challenge for Robin Hood, A ",1967,"Pennington Richards, C.M. ",BRI ,6.3
"Way West, The ",1967,"McLagen, Andrew V. ",USA ,6.3
Play Dirty ,1969,"De Toth, Andre ",BRI ,6.3
"New Land, The ",1972,"Troell, Jan ",SWE ,6.3
Man About the House ,1974,"Robins, John ",BRI ,6.3
Scott Joplin ,1977,"Kagan, Jeremy Paul ",USA ,6.3
"Cage aux folles II, le ",1980,"Molinaro, Eduardo ",,6.3
Katilon ke katil ,1981,"Hingorani, Arjun ",IND ,6.3
Body Double ,1984,"De Palma, Brian ",USA ,6.3
Roselyne et les Lions ,1989,"Beineix, Jean-Jacques ",FRA ,6.3
Slipstream ,1989,"Lisberger, Steven ",,6.3
Falling Down ,1992,"Schumacher, Joel ",USA ,6.3
Jersey Girl ,1992,"Morris, David Burton ",USA ,6.3
Deadly Advice ,1993,"Fletcher, Mandie ",BRI ,6.3
Huck and the King of Hearts ,1993,"Keusch, Michael ",USA ,6.3
Marching Out of Time ,1993,"Vassil, Anton ",USA ,6.3
I'll Do Anything ,1994,"Brooks, James L. ",USA ,6.3
Killer ,1994,"Malone, Mark ",USA ,6.3
Rules of Obsession ,1994,"King, Rick ",USA ,6.3
"Young Poisoner's Handbook, The ",1994,"Ross, Benjamin ",,6.3
Higher Learning ,1995,"Singleton, John ",USA ,6.3
Lone Star ,1995,"Sayles, John ",USA ,6.3
Stuart Saves His Family ,1995,"Ramis, Harold ",USA ,6.3
"Appartement, l ",1996,"Mimouni, Gilles ",,6.3
Dream with the Fishes ,1996,"Taylor, Finn ",USA ,6.3
Faithful ,1996,"Mazursky, Paul ",USA ,6.3
Buddy ,1997,"Thompson, Caroline ",USA ,6.3
Picture Perfect ,1997,"Cardon, Glenn Gordon ",USA ,6.3
Prefontaine ,1997,"James, Steve ",USA ,6.3
"Civil Action, A ",1998,"Zaillan, Steven ",USA ,6.3
Meet Joe Black ,1998,"Brest, Martin ",USA ,6.3
Pyaar to hona hi tha ,1998,"Bazmee, Anees ",IND ,6.3
Wide Awake ,1998,"Shyamalan, M. Night ",USA ,6.3
8 mm ,1999,"Schumacher, Joel ",USA ,6.3
"Art of Murder, The ",1999,"Preuss, Ruben ",USA ,6.3
Drop Dead Gorgeous ,1999,"Jann, Michael Patrick ",USA ,6.3
Limbo ,1999,"Sayles, John ",USA ,6.3
Chopper ,2000,"Dominik, Andrew ",AUS ,6.3
House of Sand and Fog ,2003,"Perelman, Vadim ",USA ,6.3
"Time Traveler's Wife, The ",2008,"Schwentke, Robert ",USA ,6.3
Carnage ,2011,"Polanski, Roman ",,6.3
Having You ,2013,"Hoare, Sam ",BRI ,6.3
Madron ,1970,"Hopper, Jerry ",ISR ,6.31
Raging Bull ,1980,"Scorsese, Martin ",USA ,6.31
"History Boys, The ",2006,"Hytner, Nicholas ",BRI ,6.31
Disgrace ,2008,"Jacobs, Steve ",,6.31
Bell-Bottom George ,1943,"Varnel, Marcel ",BRI ,6.32
Scream of Fear ,1961,"Holt, Seth ",BRI ,6.32
Five Bloody Graves ,1970,"Adamson, Al ",USA ,6.32
Reds ,1981,"Beatty, Warren ",USA ,6.32
Orphans ,1998,"Mullan, Peter ",BRI ,6.32
Clockmaker ,1999,"R�my, Cristopher ",,6.32
"Box, The ",2008,"Kelly, Richard ",USA ,6.32
Up the Front ,1972,"Kellett, Bob ",BRI ,6.33
Scandalous ,1983,"Cohen, Rob ",USA ,6.33
"Triumph of Love, The ",2001,"Peploe, Clare ",,6.33
C.R.A.Z.Y. ,2005,"Vallee, Jean-Marc ",CAN ,6.33
Julie & Julia ,2009,"Ephron, Nora ",USA ,6.33
"First of the Few, The ",1942,"Howard, Leslie ",BRI ,6.34
"Frogmen, The ",1951,"Bacon, Lloyd ",USA ,6.35
"Moon-Spinners, The ",1964,"Neilson, James ",USA ,6.35
Company Limited ,1971,"Ray, Satyajit ",IND ,6.35
"Harder They Come, The ",1972,"Henzel, Perry ",JAM ,6.35
"Last Tycoon, The ",1976,"Kazan, Elia ",USA ,6.35
"Dogs of War, The ",1980,"Irvin, John ",BRI ,6.35
Lost in Translation ,2003,"Coppola, Sofia ",USA ,6.35
Fifty Dead Men Walking ,2008,"Skogland, Kari ",,6.35
Brave Warrior ,1952,"Bennet, Spencer Gordon ",USA ,6.36
Wild River ,1960,"Kazan, Elia ",USA ,6.36
Death of a Gunfighter ,1969,"Smithee, Allen (Totten &) ",USA ,6.36
Willy Wonka and the Chocolate Factory ,1971,"Stuart, Mel ",USA ,6.36
"Amazing Mr. Blunden, The ",1972,"Jeffries, Lionel ",BRI ,6.36
Tom Horn ,1980,"Wiard, William ",USA ,6.36
In Darkness ,2011,"Holland, Agnieszka ",,6.36
Riot in Cell Block 11 ,1954,"Siegel, Don ",USA ,6.37
Ring of Bright Water ,1969,"Couffer, Jack ",BRI ,6.37
High Plains Drifter ,1973,"Eastwood, Clint ",USA ,6.37
Suspect ,1987,"Yates, Peter ",USA ,6.37
Crash Dive ,1943,"Mayo, Archie ",USA ,6.38
"Blue Max, The ",1966,"Guillermin, John ",,6.38
Up Pompeii! ,1971,"Kellet, Bob ",BRI ,6.38
"Black Dahlia, The ",2006,"De Palma, Brian ",USA ,6.38
Michael Clayton ,2007,"Gilroy, Tony ",USA ,6.38
"Anniversary Party, The ",2001,"Cumming, A. & Leigh, J.J. ",USA ,6.39
My First Mister ,2001,"Lahti, Christine ",,6.39
"Iced Bullet, The ",1917,"Barker, Reginald ",USA ,6.4
Tom Sawyer ,1917,"Taylor, William D. ",USA ,6.4
Butterfly ,1924,"Brown, Clarence ",USA ,6.4
"Verdun, visions d'histoire ",1928,"Poirier, L�on ",FRA ,6.4
"Maltese Falcon, The ",1931,"Del Ruth, Roy ",USA ,6.4
"Dawn Rider, The ",1935,"Bradbury, R.N. ",USA ,6.4
"Big Show, The ",1936,"Wright, Mack V. ",USA ,6.4
"Arsenal Stadium Mystery, The ",1939,"Dickinson, Thorold ",BRI ,6.4
"Master Race, The ",1944,"Biberman, Herbert J. ",USA ,6.4
Blood Alley ,1955,"Wellman, William ",USA ,6.4
"Constant Husband, The ",1955,"Gilliat, Sidney ",BRI ,6.4
To Catch a Thief ,1955,"Hitchcock, Alfred ",USA ,6.4
Darby's Rangers ,1958,"Wellman, Wiliam A. ",USA ,6.4
Under Ten Flags ,1960,"Coletti, Duilio ",,6.4
Hell is for Heroes ,1962,"Siegel, Don ",USA ,6.4
Alvarez Kelly ,1966,"Dmytryk, Edward ",USA ,6.4
Gunpoint ,1966,"Bellamy, Earl ",USA ,6.4
Incident at Phantom Hill ,1966,"Bellamy, Earl ",USA ,6.4
"Russians are Coming, The Russians are Comi ",1966,"Jewison, Norman ",USA ,6.4
"Picasso Summer, The ",1969,"Sallin, R. & Bourgignon, ",USA ,6.4
Skullduggery ,1969,"Douglas, Gordon ",USA ,6.4
"Aveu, L' ",1970,Costa-Gavras ,FRA ,6.4
"Bounty Hunters, The ",1970,"Kramer, Frank ",ITA ,6.4
Mrs. Pollifax - Spy ,1970,"Martinson, Leslie ",USA ,6.4
Nicholas and Alexandra ,1971,"Schaffner, Franklin ",BRI ,6.4
Up the Chastity Belt ,1971,"Kellett, Bob ",BRI ,6.4
Tom Sawyer ,1973,"Taylor, Don ",USA ,6.4
Pony Express Rider ,1976,"Totten, R. & Harrison, Jr ",USA ,6.4
Dallas - Barb-B-Que ,1978,"Day, Robert ",USA ,6.4
Altered States ,1980,"Russell, Ken ",USA ,6.4
Firefox ,1982,"Eastwood, Clint ",USA ,6.4
Where is Parsifal? ,1983,"Helman, Henri ",,6.4
Death of a Soldier ,1985,"Mora, Phillipe ",AUS ,6.4
Where the River Runs Black ,1986,"Cain, Christopher ",USA ,6.4
"Vern Miller Story, The ",1987,"Hewitt, Rod ",USA ,6.4
Weekend at Bernie's ,1989,"Kotcheff, Ted ",USA ,6.4
Dead Sleep ,1990,"Mills, Alec ",AUS ,6.4
Fools of Fortune ,1990,"O'Connor, Pat ",USA ,6.4
"Silence of the Lambs, The ",1990,"Demme, Jonathan ",USA ,6.4
"Nordener, de ",1992,"Van Warmerdam, Alex ",HOL ,6.4
Svart Lucia ,1992,"Hammerich, Rumle ",SWE ,6.4
Swoon ,1992,"Kalin, Tom ",USA ,6.4
Weekend at Bernie's II ,1992,"Klane, Robert ",USA ,6.4
Second Best ,1993,"Menges, Chris ",USA ,6.4
Wrestling Ernest Hemingway ,1993,"Haines, Randa ",USA ,6.4
"Doom Generation, The ",1995,"Araki, Gregg ",,6.4
Dracula: Dead and Loving It ,1995,"Brooks, Mel ",USA ,6.4
Home for the Holidays ,1995,"Foster, Jodie ",USA ,6.4
Intimate Relations ,1995,"Goodhew, Philip ",,6.4
"Real Blonde, The ",1995,"DeCillo, Tom ",USA ,6.4
"Run of the Country, The ",1995,"Yates, Peter ",IRE ,6.4
Akele hum akele tum ,1996,"Khan, Mansoor ",IND ,6.4
Bottle Rocket ,1996,"Anderson, Wes ",USA ,6.4
Stripshow ,1996,"Orona, Gary Dean ",USA ,6.4
Dad Savage ,1997,"Evans, Betsan Morris ",BRI ,6.4
Food of Love ,1997,"Poliakoff, Stephen ",,6.4
One Eight Seven ,1997,"Reynolds, Kevin ",USA ,6.4
Vigo: Passion for Life ,1997,"Temple, Julien ",,6.4
Digging to China ,1998,"Hutton, Timothy ",USA ,6.4
"Lost Son, The ",1998,"Menges, Chris ",,6.4
Rushmore ,1998,"Anderson, Wes ",USA ,6.4
Black and White ,1999,"Toback, James ",USA ,6.4
Divided We Fall ,2000,"Hrebejk, Jan ",CZE ,6.4
Fiza ,2000,"Mohamed, Khalil ",IND ,6.4
"Going Off, Big Time ",2000,"Doyle, Jim ",BRI ,6.4
Ladies' Room ,2000,"Buitenhuis, Cristiani, S ",,6.4
Shadow of the Vampire ,2000,"Merhige, E. Elias ",,6.4
Everybody Says I'm Fine ,2001,"Bose, Rahul ",IND ,6.4
"Crimen del Padre Amaro, el ",2002,"Carrera, Carlos ",,6.4
Hell to Eternity ,1960,"Karlson, Phil ",USA ,6.41
Kidnapped ,1960,"Stevenson, Robert ",USA ,6.41
Butch Cassidy and the Sundance Kid ,1969,"Hill, George Roy ",USA ,6.41
"Mean Season, The ",1985,"Borsos, Philip ",USA ,6.41
Haunted Honeymoon ,1986,"Wilder, Gene ",USA ,6.41
Clearcut ,1992,"Bugajaski, Richard ",CAN ,6.41
Single White Female ,1992,"Schroeder, Barbet ",USA ,6.41
"Glass Shield, The ",1995,"Burnett, Charles ",USA ,6.41
Moby Dick ,1956,"Huston, John ",,6.42
I Was Monty's Double ,1958,"Guillermin, John ",BRI ,6.42
Escape From New York ,1981,"Carpenter, John ",USA ,6.42
"Jigsaw Man, The ",1984,"Young, Terence ",BRI ,6.42
Alive ,1992,"Marshall, Frank ",USA ,6.42
"Testimony of Taliesin Jones, The ",2000,"Duffy, Martin ",BRI ,6.42
"Tree of Life, The ",2010,"Malick, terence ",USA ,6.42
"Well, The ",1951,"Popkin, Leo C. & Rouse, Russell ",USA ,6.43
Chitty Chitty Bang Bang ,1968,"Hughes, Ken ",BRI ,6.43
"Island of Dr. Moreau, The ",1977,"Taylor, Don ",USA ,6.43
"Baby-Sitter's Club, The ",1995,"Mayron, Melanie ",USA ,6.43
"Wooden Horse, The ",1950,"Lee, Jack ",BRI ,6.44
On Dangerous Ground ,1951,"Ray, Nicholas ",USA ,6.44
Kramer vs. Kramer ,1979,"Benton, Robert ",USA ,6.44
Brothers of the Head ,2005,"Fulton, K. & Pepe, L. ",BRI ,6.44
Billy the Kid ,1941,"Miller, David ",USA ,6.45
Cowboy ,1958,"Daves, Delmer ",USA ,6.45
Treacle Jr. ,2010,"Thraves, Jamie ",BRI ,6.45
Revolution ,1985,"Hudson, Hugh ",,6.46
"Stranger Among Us, A ",1992,"Lumet, Sidney ",USA ,6.46
Deadline ,2009,"McConville, Sean ",USA ,6.46
"Cruel Sea, The ",1953,"Frend, Charles ",BRI ,6.47
Vanishing Point ,1971,"Sarafian, Richard C. ",USA ,6.47
Raising Cain ,1992,"De Palma, Brian ",USA ,6.47
Dumb and Dumber ,1994,"Farrelly, Peter ",USA ,6.47
"Yards, The ",2000,"Gray, James ",USA ,6.47
Blue Car ,2001,"Moncrieff, Karen ",USA ,6.47
"Ides of March, The ",2011,"Clooney, George ",USA ,6.47
Two-Way Stretch ,1960,"Day, Robert ",BRI ,6.48
"History of the World, Part 1 ",1981,"Brooks, Mel ",USA ,6.48
Turtles Can Fly ,2004,"Ghobadi, Baham ",,6.48
"Proph?te, un ",2009,"Audiard, Jacques ",,6.48
Last Wagon. The ,1956,"Daves, Delmer ",USA ,6.49
"Eiger Sanction, The ",1975,"Eastwood, Clint ",USA ,6.49
Empire of the Sun ,1987,"Spielberg, Steven ",USA ,6.49
Gremlins 2: The New Batch ,1990,"Dante, Joe ",USA ,6.49
"Business of Strangers, The ",2001,"Stettner, Patrick ",USA ,6.49
"Motorcycle Diaries, The ",2004,"Salles, Walter ",,6.49
Breakfast on Pluto ,2005,"Jordan, Neil ",,6.49
Wall Street: Money Never Sleeps ,2010,"Stone, Oliver ",USA ,6.49
Little Lost Sister ,1917,"Green, A.E. ",USA ,6.5
Fool's Gold ,1920,"Trimble, Larry ",USA ,6.5
Danton ,1921,"Buchowetzki, Dmitri ",GER ,6.5
"Unbekannte Morgen, Das ",1923,"Korda, Alexander ",OST ,6.5
Changing Husbands ,1924,"Urson, Frank & Iribe, P. ",USA ,6.5
"Marriage Circle, The ",1924,"Lubitsch, Ernst ",USA ,6.5
"Road to Yesterday, The ",1925,"DeMille, Cecil B. ",USA ,6.5
"Walzertraum, Ein ",1925,"Berger, Ludwig ",GER ,6.5
Zakroishchik iz Torzhka ,1925,"Protazanov, Yakov ",RUS ,6.5
Mauprat ,1926,"Epstein, Jean ",FRA ,6.5
Po Zakonou ,1926,"Kuleshov, Lev ",RUS ,6.5
Casanova ,1927,"Volkoff, Alexandre ",FRA ,6.5
Venus im Frack ,1927,"Land, Robert ",GER ,6.5
Adam's Apple ,1928,"Beaudine, William ",BRI ,6.5
Docks of New York ,1928,"Sternberg, Josef von ",USA ,6.5
"Heilige und ihr Narr, Die ",1928,"Dieterle, Wilhelm ",GER ,6.5
"Ring, The ",1928,"Hitchcock, Alfred ",BRI ,6.5
Swordswoman of Huangjiang ,1930,"Chen Kengran, Zheng Yishe ",CHI ,6.5
Destry Rides Again ,1932,"Stoloff, Ben ",USA ,6.5
Under-Cover Man ,1932,"Flood, James ",USA ,6.5
"Invisible Man, The ",1933,"Whale, James ",USA ,6.5
Babes in Toyland ,1934,Meins & Rogers ,USA ,6.5
Treasure Island ,1934,"Fleming, Victor ",USA ,6.5
I Dream Too Much ,1935,"Cromwell, John ",USA ,6.5
U Samovo Sinyevo Morya ,1935,"Barnet, Boris ",RUS ,6.5
"Ex-Mrs. Bradford, The ",1936,"Roberts, Stephen ",USA ,6.5
"High Command, The ",1936,"Dickinson, Thorold ",BRI ,6.5
21 Days ,1937,"Dean, Basil ",BRI ,6.5
"Prisoner of Zenda, The ",1937,"Cromwell, John ",USA ,6.5
"Drum, The ",1938,"Korda, Zoltan ",BRI ,6.5
Young and Innocent ,1938,"Hitchcock, Alfred ",BRI ,6.5
"Hunchback of Notre Dame, The ",1939,"Dieterle, William ",USA ,6.5
Castle on the Hudson ,1940,"Litvak, Anatole ",USA ,6.5
My Little Chickadee ,1940,"Cline, Eddie ",USA ,6.5
Sailors Three ,1940,"Forde, Walter ",BRI ,6.5
"Shadow of the Thin Man, The ",1941,"Van Dyke, W.S. ",USA ,6.5
They Died With Their Boots On ,1941,"Walsh, Raoul ",USA ,6.5
Roxie Hart ,1942,"Wellman, William ",USA ,6.5
Buffalo Bill ,1944,"Wellman, William ",USA ,6.5
Mr. Skeffington ,1944,"Sherman, Vincent ",USA ,6.5
Passage to Marseilles ,1944,"Curtiz, Michael ",USA ,6.5
Son of Lassie ,1945,"Simon, S. Sylvan ",USA ,6.5
"Pirate, The ",1947,"Minnelli, Vincente ",USA ,6.5
Mystery in Mexico ,1948,"Wise, Robert ",USA ,6.5
Oliver Twist ,1948,"Lean, David ",BRI ,6.5
"Clay Pigeon, The ",1949,"Fleischer, Richard ",USA ,6.5
Wake of the Red Witch ,1949,"Ludwig, Edward ",,6.5
"Elusive Pimpernel, The ",1950,"Powell, Michael ",BRI ,6.5
Quo Vadis? ,1951,"LeRoy, Mervyn ",USA ,6.5
Carson City ,1952,"Toth, Andre de ",USA ,6.5
"Ringer, The ",1952,"Hamilton, Guy ",BRI ,6.5
Abbott and Costello Meet Dr. Jekyll and Mr ,1953,"Lamont, Charles ",USA ,6.5
"Glory Brigade, The ",1953,"Webb, Robert D. ",USA ,6.5
"Colditz Story, The ",1954,"Hamilton, Guy ",BRI ,6.5
Abbott and Costello meet the Keystone Kops ,1955,"Lamont, Charles ",USA ,6.5
Sailor Beware! ,1956,"Parry, G. ",BRI ,6.5
Happy is the Bride ,1957,"Boulting, Roy ",BRI ,6.5
Jet Pilot ,1957,"Sternberg, Josef von ",USA ,6.5
"Wreck of the Mary Deare, The ",1959,"Anderson, Michael ",USA ,6.5
Kohinoor ,1960,"Sunny, S.U. ",IND ,6.5
Murder She Said ,1961,"Pollock, George ",BRI ,6.5
"300 Spartans, The ",1962,"Mat�, Rudolph ",USA ,6.5
